[2023-07-06 19:07:08] [world] The Player <wqe123420> has placed COBBLESTONE at X= -64, Y= 76, Z= -248
[2023-07-06 19:08:11] [world] The Player <wqe123420> has placed COBBLESTONE at X= -41, Y= 75, Z= -211
[2023-07-06 19:08:11] [world] The Player <wqe123420> has placed COBBLESTONE at X= -41, Y= 76, Z= -211
[2023-07-06 19:08:11] [world] The Player <wqe123420> has placed COBBLESTONE at X= -41, Y= 77, Z= -211
[2023-07-06 19:08:11] [world] The Player <wqe123420> has placed COBBLESTONE at X= -41, Y= 78, Z= -211
[2023-07-06 19:08:12] [world] The Player <wqe123420> has placed COBBLESTONE at X= -41, Y= 79, Z= -211
[2023-07-06 19:08:12] [world] The Player <wqe123420> has placed COBBLESTONE at X= -41, Y= 80, Z= -211
[2023-07-06 19:08:12] [world] The Player <wqe123420> has placed COBBLESTONE at X= -41, Y= 81, Z= -211
[2023-07-06 19:08:13] [world] The Player <wqe123420> has placed COBBLESTONE at X= -41, Y= 82, Z= -211
[2023-07-06 19:08:35] [world] The Player <wqe123420> has placed COBBLESTONE at X= -22, Y= 70, Z= -262
[2023-07-06 19:08:37] [world] The Player <wqe123420> has placed COBBLESTONE at X= -22, Y= 71, Z= -262
[2023-07-06 19:08:38] [world] The Player <wqe123420> has placed COBBLESTONE at X= -22, Y= 72, Z= -262
[2023-07-06 19:08:38] [world] The Player <wqe123420> has placed COBBLESTONE at X= -22, Y= 73, Z= -262
[2023-07-06 19:08:38] [world] The Player <wqe123420> has placed COBBLESTONE at X= -23, Y= 73, Z= -262
[2023-07-06 19:09:11] [world] The Player <wqe123420> has placed COBBLESTONE at X= -23, Y= 70, Z= -261
[2023-07-06 19:09:11] [world] The Player <wqe123420> has placed COBBLESTONE at X= -23, Y= 71, Z= -261
[2023-07-06 19:09:11] [world] The Player <wqe123420> has placed COBBLESTONE at X= -23, Y= 72, Z= -261
[2023-07-06 19:09:11] [world] The Player <wqe123420> has placed COBBLESTONE at X= -23, Y= 73, Z= -261
[2023-07-06 19:09:12] [world] The Player <wqe123420> has placed COBBLESTONE at X= -23, Y= 74, Z= -261
[2023-07-06 19:09:12] [world] The Player <wqe123420> has placed COBBLESTONE at X= -23, Y= 75, Z= -261
[2023-07-06 19:09:12] [world] The Player <wqe123420> has placed COBBLESTONE at X= -23, Y= 76, Z= -261
[2023-07-06 19:09:12] [world] The Player <wqe123420> has placed COBBLESTONE at X= -23, Y= 77, Z= -261
[2023-07-06 19:09:12] [world] The Player <wqe123420> has placed COBBLESTONE at X= -23, Y= 78, Z= -261
[2023-07-06 19:21:23] [world] The Player <Enderlava> has placed SHULKER_BOX at X= -28, Y= 63, Z= -288
[2023-07-06 19:26:50] [world] The Player <Enderlava> has placed DAMAGED_ANVIL at X= -27, Y= 70, Z= -271
[2023-07-06 19:28:23] [world] The Player <Enderlava> has placed COAL_BLOCK at X= -24, Y= 71, Z= -267
[2023-07-06 19:28:23] [world] The Player <Enderlava> has placed COAL_BLOCK at X= -24, Y= 72, Z= -267
[2023-07-06 20:18:59] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -865, Y= -60, Z= -742
[2023-07-06 20:18:59] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -865, Y= -59, Z= -742
[2023-07-06 20:19:00] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -865, Y= -60, Z= -743
[2023-07-06 20:19:00] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -865, Y= -59, Z= -743
[2023-07-06 20:19:01] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -865, Y= -59, Z= -745
[2023-07-06 20:19:01] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -865, Y= -59, Z= -744
[2023-07-06 20:19:02] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -865, Y= -60, Z= -745
[2023-07-06 20:19:03] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -865, Y= -60, Z= -744
[2023-07-06 20:19:58] [world] The Player <wqe123420> has placed OAK_FENCE at X= -834, Y= -60, Z= -738
[2023-07-06 20:19:59] [world] The Player <wqe123420> has placed OAK_FENCE at X= -835, Y= -60, Z= -738
[2023-07-06 20:19:59] [world] The Player <wqe123420> has placed OAK_FENCE at X= -836, Y= -60, Z= -738
[2023-07-06 20:20:00] [world] The Player <wqe123420> has placed OAK_FENCE at X= -837, Y= -60, Z= -738
[2023-07-06 20:20:00] [world] The Player <wqe123420> has placed OAK_FENCE at X= -838, Y= -60, Z= -738
[2023-07-06 20:20:01] [world] The Player <wqe123420> has placed OAK_FENCE at X= -839, Y= -60, Z= -738
[2023-07-06 20:20:02] [world] The Player <wqe123420> has placed OAK_FENCE at X= -840, Y= -60, Z= -738
[2023-07-06 20:20:02] [world] The Player <wqe123420> has placed OAK_FENCE at X= -841, Y= -60, Z= -738
[2023-07-06 20:20:14] [world] The Player <wqe123420> has placed OAK_FENCE at X= -834, Y= -60, Z= -739
[2023-07-06 20:20:15] [world] The Player <wqe123420> has placed OAK_FENCE at X= -834, Y= -60, Z= -741
