[2023-07-19 12:06:04] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 35, Y= 15, Z= 15
[2023-07-19 12:06:04] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 36, Y= 15, Z= 15
[2023-07-19 12:06:06] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 37, Y= 16, Z= 16
[2023-07-19 12:06:06] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 38, Y= 16, Z= 16
[2023-07-19 12:06:06] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 39, Y= 16, Z= 16
[2023-07-19 12:06:16] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 43, Y= 15, Z= 16
[2023-07-19 12:06:16] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 43, Y= 16, Z= 16
[2023-07-19 12:06:16] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 44, Y= 16, Z= 16
[2023-07-19 12:06:19] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 44, Y= 17, Z= 16
[2023-07-19 12:06:19] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 45, Y= 17, Z= 16
[2023-07-19 12:06:20] [world_nether] The Player <Enderlava> has broke BLACKSTONE at X= 46, Y= 17, Z= 16
[2023-07-19 12:06:57] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= 45, Y= 17, Z= 19
