[2023-08-09 10:02:33] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 1, Y= 104, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 1, Y= 103, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 0, Y= 103, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 0, Y= 102, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -1, Y= 102, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -2, Y= 102, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -2, Y= 101, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -3, Y= 102, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -3, Y= 101, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -4, Y= 102, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -4, Y= 101, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -5, Y= 101, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -4, Y= 100, Z= -22
[2023-08-09 10:02:34] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -1, Y= 101, Z= -22
[2023-08-09 10:02:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -3, Y= 100, Z= -22
[2023-08-09 10:02:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -4, Y= 99, Z= -22
[2023-08-09 10:02:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -5, Y= 99, Z= -22
[2023-08-09 10:02:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -5, Y= 100, Z= -22
[2023-08-09 10:02:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -6, Y= 100, Z= -22
[2023-08-09 10:02:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -6, Y= 101, Z= -22
[2023-08-09 10:02:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -7, Y= 100, Z= -22
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -7, Y= 99, Z= -22
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -6, Y= 99, Z= -22
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -8, Y= 99, Z= -22
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -9, Y= 99, Z= -22
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -9, Y= 98, Z= -22
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -10, Y= 99, Z= -22
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -10, Y= 98, Z= -22
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -8, Y= 100, Z= -22
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -11, Y= 99, Z= -22
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -9, Y= 100, Z= -22
[2023-08-09 10:02:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -12, Y= 99, Z= -22
