[2023-07-22 13:06:30] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 6, Y= 96, Z= -49
[2023-07-22 13:06:31] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -49
[2023-07-22 13:06:31] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -50
[2023-07-22 13:06:31] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 96, Z= -47
[2023-07-22 13:06:31] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 96, Z= -48
[2023-07-22 13:06:31] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 96, Z= -46
[2023-07-22 13:06:31] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 3, Y= 96, Z= -48
[2023-07-22 13:06:31] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 3, Y= 96, Z= -49
[2023-07-22 13:06:31] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 96, Z= -49
[2023-07-22 13:06:31] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -48
[2023-07-22 13:06:31] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -49
[2023-07-22 13:06:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 96, Z= -51
[2023-07-22 13:06:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 96, Z= -50
[2023-07-22 13:06:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 3, Y= 96, Z= -50
[2023-07-22 13:06:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 97, Z= -47
[2023-07-22 13:06:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 97, Z= -48
[2023-07-22 13:06:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 3, Y= 97, Z= -48
[2023-07-22 13:06:32] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 4, Y= 97, Z= -49
[2023-07-22 13:06:33] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 5, Y= 97, Z= -50
