[2023-07-21 16:23:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 14, Z= -20
[2023-07-21 16:23:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 14, Z= -19
[2023-07-21 16:23:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 14, Z= -18
[2023-07-21 16:23:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 14, Z= -18
[2023-07-21 16:23:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 15, Z= -19
[2023-07-21 16:23:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 15, Z= -18
[2023-07-21 16:24:38] [world_nether] The Player <Enderlava> has broke GRAVEL at X= -65, Y= 13, Z= -11
[2023-07-21 16:24:38] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 13, Z= -10
[2023-07-21 16:24:39] [world_nether] The Player <Enderlava> has broke GRAVEL at X= -65, Y= 13, Z= -11
[2023-07-21 16:24:39] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 13, Z= -9
[2023-07-21 16:24:39] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 13, Z= -8
[2023-07-21 16:24:39] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 13, Z= -7
[2023-07-21 16:24:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 12, Z= -5
[2023-07-21 16:24:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 12, Z= -4
[2023-07-21 16:24:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 13, Z= -4
[2023-07-21 16:24:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 13, Z= -3
[2023-07-21 16:24:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -65, Y= 14, Z= -4
[2023-07-21 16:24:51] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -64, Y= 14, Z= -4
